"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
124807,0,"","abolish","diyohisdi","","","","","","","ᏗᏲᎯᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abolish.mp3","2020-10-11 17:38:11"
124808,0,"","aboriginal","nvnehiya","","","","","","","ᏅᏁᎯᏯ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Aboriginal.mp3","2020-10-11 17:38:11"
124809,0,"","about","gvwaduwidv","","","","","","","ᎬᏩᏚᏫᏛ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/About.mp3","2020-10-11 17:38:11"
124810,0,"","above","galvladitlv","","","","","","","ᎦᎸᎳᏗᏢ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Above.mp3","2020-10-11 17:38:11"
124811,0,"","abridge","asqualvdodi","","","","","","","ᎠᏍᏆᎸᏙᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abridge.mp3","2020-10-11 17:38:11"
124812,0,"","abroad","inv","","","","","","","ᎢᏅ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abroad.mp3","2020-10-11 17:38:11"
124813,0,"","absence","nvdohvnv","","","","","","","ᏅᏙᎲᏅ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Absence.mp3","2020-10-11 17:38:11"
124814,0,"","absent","nedohvna","","","","","","","ᏁᏙᎲᎾ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Absent.mp3","2020-10-11 17:38:11"
124815,0,"","abstinence","asulagoisdi","","","","","","","ᎠᏑᎳᎪᎢᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abstinence.mp3","2020-10-11 17:38:11"
124816,0,"","abstract","adadalododi","","","","","","","ᎠᏓᏓᎶᏙᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abstract.mp3","2020-10-11 17:38:11"
124817,0,"","absurd","nudohiyusvna","","","","","","","ᏄᏙᎯᏳᏒᎾ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Absurd.mp3","2020-10-11 17:38:11"
124818,0,"","abundant","gvwalosvsdi","","","","","","","ᎬᏩᎶᏒᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abundant.mp3","2020-10-11 17:38:11"
124819,0,"","abuse","uyoigvnedi","","","","","","","ᎤᏲᎢᎬᏁᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Abuse.mp3","2020-10-11 17:38:11"
124820,0,"","accelerate","gatsanulahisdi","","","","","","","ᎦᏣᏄᎳᎯᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Accelerate.mp3","2020-10-11 17:38:11"
124821,0,"","accent","gvnedikaneisdi","","","","","","","ᎬᏁᏗᎧᏁᎢᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Accent.mp3","2020-10-11 17:38:11"
124822,0,"","accept","didanilvisdi","","","","","","","ᏗᏓᏂᎸᎢᏍᏗ","","","","","","","","","","","","","","","","","","","","","","","","","","cnoS","","","","https://data.cherokee.org/Cherokee/LexiconSoundFiles/Accept.mp3","2020-10-11 17:38:11"
