"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
72191,1,"adadlosdi, gadlohiha","he's putting on a belt","adadlohiha","","","vt","<u>She put on a</u> pretty <u>belt</u> when she went to town.","Uwoduhi adadlosdi <u>udadlohlvi</u> digaduhv uwena.","ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ <u>ᎤᏓᏠᏢᎢ</u> ᏗᎦᏚᎲ ᎤᏪᎾ.","ᎠᏓᏠᎯᎭ","gadadlohiha","ᎦᏓᏠᎯᎭ","hadadloga","ᎭᏓᏠᎦ","udadlosdi","ᎤᏓᏠᏍᏗ","udadlohlvi","ᎤᏓᏠᏢᎢ","adadlohihoi","ᎠᏓᏠᎯᎰᎢ","adatlohiha","","uwotuhi adatlosdi udatlotlvi digatuhv uwena","gadatlohiha","hadatloga","udatlosdi","udatlotlvi","adatlohihoi","a1da3dlo2hi.3ha","","ga.2da3dlo2hi.3ha","ha.2da1dlo23ga","u2da1dlo23sdi","u1da3dlo2hlv23i","a1da3dlo23hi2ho3?i","ced","","","","","2018-12-22 15:42:11"
72192,3,"adadlohiha","belt","adadlosdi","didadlosdi","ᏗᏓᏠᏍᏗ","n","I got a <u>belt</u> for Christmas.","<u>Adadlosdi</u> aginesv Danisdayohihvi.","<u>ᎠᏓᏠᏍᏗ</u> ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.","ᎠᏓᏠᏍᏗ","","","","","","","","","","","adatlosdi","didatlosdi","adatlosdi aginesv danisdayohihvi","","","","","","a.2da1dlo23sdi","di2da1dlo23sdi","","","","","","ced","","","","","2018-12-22 15:42:11"
72193,3,"adadolisdiha, gadoliga","prayer","adadolisdi","","","n","The preacher asked for <u>prayers</u>.","<u>Adadolisdi</u> utayohlv ahljadohvsgi.","<u>ᎠᏓᏙᎵᏍᏗ</u> ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.","ᎠᏓᏙᎵᏍᏗ","","","","","","","","","","","adadolisdi","","adadolisdi utayotlv alitsadohvsgi","","","","","","a.2da2do23li32sdi","","","","","","","ced","","","","","2018-12-22 15:42:12"
72194,2,"adadolisdi, gadoliga","he's praying","adadolisdiha","","","vi","<u>He prays</u> three times a day.","Joi iyuwakdi <u>adadolisdisgo</u> siga.","ᏦᎢ ᎢᏳᏩᎩᏗ <u>ᎠᏓᏙᎵᏍᏗᏍᎪ</u> ᏏᎦ.","ᎠᏓᏙᎵᏍᏗᎭ","gadadolisdiha","ᎦᏓᏙᎵᏍᏗᎭ","hadadolisda","ᎭᏓᏙᎵᏍᏓ","udadolisdohdi","ᎤᏓᏙᎵᏍᏙᏗ","udadolistanvi","ᎤᏓᏙᎵᏍᏔᏅᎢ","adadolisdisgoi","ᎠᏓᏙᎵᏍᏗᏍᎪᎢ","adadolisdiha","","tsoi iyuwagidi adadolisdisgo siga","gadadolisdiha","hadadolisda","udadolisdodi","udadolistanvi","adadolisdisgoi","a1da2do23li32sdi.2ha","","ga.2da2do23li32sdi.2ha","ha.2da2do2li1sda","u2da2do23li32sdoh2di","u1da2do23li32sta.2nv23?i","a1da2do23li32sdi2sgo3?i","ced","","","","","2018-12-22 15:42:12"
72195,4,"","1. tender  2. very young, new","adagei","anidagei","ᎠᏂᏓᎨᎢ","adj","She bought <u>tender</u> green beans at the store. <u>A very young</u> child drinks only milk.","<u>Anidage</u> tuya anije duhwasv didananvi. <u>Adage</u> ayohli unvdigwu iga aditasgoi.","<u>ᎠᏂᏓᎨ</u> ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ. <u>ᎠᏓᎨ</u> ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ.","ᎠᏓᎨᎢ","","","","","","","","","","","adagei","anidagei","anidage tuya anitse tuwasv didananvi adage ayotli unvdiquu iga aditasgoi","","","","","","a.3da.2ge4?i","a.2ni3da.2ge4?i","","","","","","ced","","","","","2018-12-22 15:42:12"
72196,3,"udageyuha","love","adageyhdi","","","n","<u>Love</u> is important.","<u>Adageyhdi</u> ulsgeda.","<u>ᎠᏓᎨᏴᏗ</u> ᎤᎵᏍᎨᏓ.","ᎠᏓᎨᏳᏗ","","","","","","","","","","","adageyudi","","adageyvdi ulisgeda","","","","","","a.2da2geyh2di","","","","","","","ced","","","","","2018-12-22 15:42:12"
72197,3,"ahiha, didahihi","thing that kills","adahihi","anadahihi","ᎠᎾᏓᎯᎯ","n","Some pills are <u>killers</u> if too many are swallowed.","Igada dikisdi <u>anadahihi</u> tsgwisdi yidakisa.","ᎢᎦᏓ ᏗᎩᏍᏗ <u>ᎠᎾᏓᎯᎯ</u> ᏥᏈᏍᏗ ᏱᏓᎩᏌ.","ᎠᏓᎯᎯ","","","","","","","","","","","adahihi","anadahihi","igada digisdi anadahihi tsiquisdi yidagisa","","","","","","a.2da23hi.2hi","a.2na.2da23hi.2hi","","","","","","ced","","","","","2018-12-22 15:42:12"
72198,4,"kanesahla","purse","adahlinesahldi","didahlinesahldi","ᏗᏓᏟᏁᏌᎵᏗ","n","He gave his wife a new <u>purse</u>.","Ije <u>adahlinesahldi</u> unvnelv usdayvhvsgi.","ᎢᏤ <u>ᎠᏓᏟᏁᏌᎵᏗ</u> ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.","ᎠᏓᏟᏁᏌᎵᏗ","","","","","","","","","","","adatlinesalidi","didatlinesalidi","itse adatlinesalidi unvnelv usdayvhvsgi","","","","","","a.2da2hli.2ne3sahl2di","di2da2hli.2ne3sahl2di","","","","","","ced","","","","","2018-12-22 15:42:12"
72199,3,"ahneha","gift","adahnehdi","didahnehdi","ᏗᏓᏁᏗ","n","When it's close to Christmas, people shop for <u>gifts</u>.","Danisdayohihv nav yigi, <u>didahnehdi</u> anadaneanesvhvsgo yvwi.","ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ, <u>ᏗᏓᏁᏗ</u> ᎠᎾᏓᏁᎠᏁᏒᎲᏍᎪ ᏴᏫ.","ᎠᏓᏁᏗ","","","","","","","","","","","adanedi","didanedi","danisdayohihv nav yigi didanedi anadaneanesvhvsgo yvwi","","","","","","a.2da23hneh2di","di2da23hneh2di","","","","","","ced","","","","","2018-12-22 15:42:12"
72200,2,"adahnoyo, kanoyeha","he's fanning himself","adahnoyeha","","","vi","<u>She</u> wants <u>to fan</u> herself, but she has no fan.","<u>Udahnoyehdi</u> uduli asehnv hla adahnoyo yuwaya.","<u>ᎤᏓᏃᏰᏗ</u> ᎤᏚᎵ ᎠᏎᏅ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.","ᎠᏓᏃᏰᎭ","gadanoyeha","ᎦᏓᏃᏰᎭ","hadahnoyvla","ᎭᏓᏃᏴᎳ","udahnoyehdi","ᎤᏓᏃᏰᏗ","udahnoyehvi","ᎤᏓᏃᏰᎲᎢ","adahnoyesgoi","ᎠᏓᏃᏰᏍᎪᎢ","adanoyeha","","udanoyedi utuli asenv tla adanoyo yuwaya","gadanoyeha","hadanoyvla","udanoyedi","udanoyehvi","adanoyesgoi","a1da.2hno3ye.2ha","","ga.2da1no3ye.2ha","ha.2da.2hno2yv23la","u2da.2hno3yeh3di","u1da.2hno3ye.2hv23?i","a1da.2hno3ye2sgo3?i","ced","","","","","2018-12-22 15:42:12"
