"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
99727,2,"","He is knowing it","aktaha","","","vt","Truly, said <em>Christian</em>, <u>I do not know</u>.","[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]","ᎤᏙᎯᏳᎯᏯ, ᎤᏛᏅ ᏧᏁᎶᏗ, <u>ᎥᏝ ᏱᏥᎦᏔᎭ</u>.","ᎠᎦᏔᎭ","tsigataha","ᏥᎦᏔᎭ","","-","","-","","-","aktahoi","ᎠᎦᏔᎰᎢ","agataha","","udohiyuhiya, udvnv tsunelodi, <u>vtla yitsigataha</u>.","tsigataha","","","","agatahoi","ạktaha","","tsịgataha","","","","ạktaho³ɂi","rrd","","","","","2019-12-09 12:15:53"
99728,2,"","He is turning","aktahva","","","vi","and these things having said, <u>she turned backward</u>, and seeth Jesus standing, and she had not known that it is Jesus.","[ᏣᏂ 20:14]","ᎾᏍᎩᏃ ᏄᏪᏒ <u>ᎤᎦᏔᎲᏒᎩ</u>; ᎠᎴ ᎤᎪᎲᎩ ᏥᏌ ᎦᏙᎬᎩ, ᎠᎴ ᎥᏝ ᏳᏬᎵᏤ ᏥᏌ ᎨᏒᎢ.","ᎠᎦᏔᎲᎠ","gagatahva","ᎦᎦᏔᎲᎠ","haktahvna","ᎭᎦᏔᎲᎾ","uktahvsdi","ᎤᎦᏔᎲᏍᏗ","uktahvsvi","ᎤᎦᏔᎲᏒᎢ","aktahvsgoi","ᎠᎦᏔᎲᏍᎪᎢ","agatahva","","nasgino nuwesv <u>ugatahvsvgi</u>; ale ugohvgi tsisa gadogvgi, ale vtla yuwolitse tsisa gesvi.","gagatahva","hagatahvna","ugatahvsdi","ugatahvsvi","agatahvsgoi","aktahṿɂa","","gagạɂtahṿɂa","haktahṿna","uktahṿsdi","uktahṿsv²³ɂi","aktahṿsgo³ɂi","rrd","","","","","2019-12-09 12:15:53"
99729,1,"","Lace","agatena","","","n","","","","ᎠᎦᏖᎾ","","","","","","","","","","","agatena","","","","","","","","ạgạtena","","","","","","","rrd","","","","","2018-12-22 15:20:36"
99730,2,"","He is watching for him, it.; He is waiting for him, it.; He is watching over him, it","aktiya","","","vt","And Jehovah saith unto Cain, 'Where [is] Abel thy brother?' and he saith, 'I have not known; my brother's <u>keeper -- I</u>?'","[ᎼᏏ ᎢᎬᏱᏱ 4:9]","ᏱᎰᏩᏃ ᎯᎠ ᏄᏪᏎᎴ ᎨᏂ, ᎭᏢ ᎡᏣᏅᏟ ᎡᏈᎵ? ᎯᎠᏃ ᏄᏪᏎᎢ, Ꮭ ᏱᏥᎦᏔᎭ: ᏥᎪ ᎠᏴ ᎥᎩᏅᏟ <u>ᏥᎦᏘᏯ</u>?","ᎠᎦᏘᏯ","tsigatiya","ᏥᎦᏘᏯ","hiktidi","ᎯᎦᏘᏗ","uktidisdi","ᎤᎦᏘᏗᏍᏗ","uktidvi","ᎤᎦᏘᏛᎢ","aktiyoi","ᎠᎦᏘᏲᎢ","agatiya","","yihowano hia nuwesele geni, hatlv etsanvtli equili? hiano nuwesei, tla yitsigataha: tsigo ayv vginvtli <u>tsigatiya</u>?","tsigatiya","higatidi","ugatidisdi","ugatitvi","agatiyoi","ạktiya","","tsịgatiya","hịktidi","ụktidịsdi","ụktidɂv²³ɂi","ạktiyo³ɂi","rrd","","","","","2019-12-09 12:15:53"
99731,2,"","His eye","aktoli","dịtsịktoli","ᏗᏥᎦᏙᎵ","n","“It had <u>eyes</u> lifted up to Heaven.”","[ᏧᏁᎶᏗ ᏚᏂᎩᏒᏒᎢ]","<u>ᏗᎦᏙᎵ</u> ᎦᎸᎳᏗ ᏧᏫᏓᎧᏃ ᎾᏍᎩᏯ ᏂᏚᏩᏅᎩ.","ᎠᎦᏙᎵ","","","","","","","","","","","agadoli","ditsigadoli","<u>digadoli</u> galvladi tsuwidakano nasgiya niduwanvgi.","","","","","","ạktoli","dịtsịktoli","","","","","","rrd","","","","","2019-12-09 12:15:53"
99732,1,"","He is looking at it","aktosdiha","","","vt","","","","ᎠᎦᏙᏍᏗᎭ","gakdosdiha","ᎦᎦᏙᏍᏗᎭ","haktosda","ᎭᎦᏙᏍᏓ","uktosdohdi","ᎤᎦᏙᏍᏙᏗ","uktosdanvi","ᎤᎦᏙᏍᏓᏅᎢ","aktosdisgoi","ᎠᎦᏙᏍᏗᏍᎪᎢ","agadosdiha","","","gagadosdiha","hagadosda","ugadosdodi","ugadosdanvi","agadosdisgoi","aktosdịha","","gakdosdịha","haktosda","uktosdohdi","uktosdạnv²³ɂi","aktosdịsgo³ɂi","rrd","","","","","2018-12-22 15:20:36"
99733,1,"","He is investigating it","akdvhvsga","","","vt","","","","ᎠᎦᏛᎲᏍᎦ","agikdvvsga","ᎠᎩᎦᏛᎥᏍᎦ","hikdvhvga","ᎯᎦᏛᎲᎦ","ukdvhdi","ᎤᎦᏛᏗ","ukdvhnvi","ᎤᎦᏛᏅᎢ","akdvhvsgoi","ᎠᎦᏛᎲᏍᎪᎢ","agatvhvsga","","","agigatvvsga","higatvhvga","ugatvdi","ugatvnvi","agatvhvsgoi","ạkdv³hvsga","","a¹gịkdv³ɂvsga","hịkdv³hvga","ukdv³hdi","ukdv³hnv²³ɂi","ạkdv³hvsgo³ɂi","rrd","","","","","2018-12-22 15:20:36"
99734,1,"","He is going through.; He is passing a grade","aktvleha","","","vt","","","","ᎠᎦᏛᎴᎭ","tsigatvleha","ᏥᎦᏛᎴᎭ","hiktvlehi","ᎯᎦᏛᎴᎯ","uktvlesdi","ᎤᎦᏛᎴᏍᏗ","uktvlesvi","ᎤᎦᏛᎴᏒᎢ","aktvlesgoi","ᎠᎦᏛᎴᏍᎪᎢ","agatvleha","","","tsigatvleha","higatvlehi","ugatvlesdi","ugatvlesvi","agatvlesgoi","ạktṿ³ɂleha","","tsịgạɂtṿ³ɂleha","hịktṿ³ɂlehi","uktṿ³ɂlesdi","uktṿ³ɂlesv²³ɂi","ạktṿ³ɂlesgo³ɂi","rrd","","","","","2018-12-22 15:20:36"
99735,1,"","It is rusting","agatsinvgoga","","","vi","","","","ᎠᎦᏥᏅᎪᎦ","","-","wagatsinvgoesdi","ᏩᎦᏥᏅᎪᎡᏍᏗ","ugatsinvgoisdi","ᎤᎦᏥᏅᎪᎢᏍᏗ","ugatsinvgotsvi","ᎤᎦᏥᏅᎪᏨᎢ","agatsinvgogoi","ᎠᎦᏥᏅᎪᎪᎢ","agatsinvgoga","","","","wagatsinvgoesdi","ugatsinvgoisdi","ugatsinvgotsvi","agatsinvgogoi","agatsịnṿgoga","","","wagatsịnṿgoesdi","ugatsịnṿgoɂisdi","ugatsịnṿgotsv²³ɂi","agatsịnṿgogo³ɂi","rrd","","","","","2018-12-22 15:20:37"
99736,1,"","Seine.; Net","agahyuladi","","","n","","","","ᎠᎦᏳᎳᏗ","","","","","","","","","","","agayuladi","","","","","","","","ạgahyụladi","","","","","","","rrd","","","","","2018-12-22 15:20:37"
